"BAD","LOAN","MORTDUE","VALUE","REASON","JOB","YOJ","DEROG","DELINQ","CLAGE","NINQ","CLNO","DEBTINC","M_MORTDUE","M_VALUE","M_YOJ","M_DEROG","M_DELINQ","M_CLAGE","M_NINQ","M_CLNO","M_DEBTINC"
0,41400,18714,46000,"DebtCon","Other",3,6,8,112.796031746032,3,20,20.6887148224417,1,0,1,0,1,0,1,0,1
0,16200,105502,117705,"DebtCon","Other",0,0,0,125.242588610948,2,21,38.8106617067944,0,0,0,0,0,0,0,0,0
0,24200,45902,70212,"DebtCon","Other",25,0,0,303.762469465654,3,32,35.22386162318,0,0,0,0,0,0,0,0,0
1,18000,114000,147140,"DebtCon","Other",5,0,0,122.733333333333,2,13,36.9477982157598,0,0,0,0,0,0,0,0,1
0,24000,114196,150000,"DebtCon","Mgr",4,0,0,289.133333333333,0,25,40.7674014115601,0,0,0,0,0,0,0,0,1
0,13000,72931,96803,"DebtCon","Other",6,0,0,208.672891771815,2,18,41.0522350115013,0,0,0,0,0,0,0,0,0
1,11100,52900,91741,"HomeImp","Other",14,1,1,93.1103526982342,0,8,40.7614530712606,0,0,1,0,0,0,1,0,0
0,11800,57760,65535,"DebtCon","Mgr",11,0,0,108.469400449613,1,18,32.7834835675934,0,0,0,0,0,0,0,0,0
0,51700,183615,257077,"DebtCon","ProfExe",4,0,0,213.755850171598,2,32,38.9533130396685,0,0,0,0,0,0,0,0,0
0,13100,73987,106557,"DebtCon","Office",9,0,0,149.452529060326,1,13,37.0085269283031,0,0,0,0,0,0,0,0,0
1,13200,65997,88000,"DebtCon","Other",2,0,0,113.233333333333,2,25,41.1178874857854,0,0,0,0,0,0,0,0,1
0,25700,50800,85000,"DebtCon","Other",23,1,2,184.266666666667,1,20,29.4825278730283,0,0,0,0,0,0,0,0,1
1,15000,399550,466755,"HomeImp","Mgr",0.9,0,0,138.166666666667,1,18,44.9459291489077,0,1,0,0,0,0,0,0,1
1,9700,32660,54536,"DebtCon","Office",0,0,0,156.482105695483,0,13,67.3249035502434,0,0,0,0,0,0,0,0,0
0,15700,74587,93180,"DebtCon","Mgr",19,0,0,263.159163313694,10,24,35.404414525714,0,0,0,0,0,0,0,0,0
0,31700,72809,109678,"HomeImp","Other",5,1,0,117.473921472326,10,21,41.5128358927056,0,0,0,1,1,0,0,0,0
