Time ,Load ,Price
01.01.2019 00:00:00,43628,28.32
01.01.2019 01:00:00,41662.75,10.07
01.01.2019 02:00:00,40553,-4.08
01.01.2019 03:00:00,40261.25,-9.91
01.01.2019 04:00:00,40603.25,-7.41
01.01.2019 05:00:00,40904.25,-12.55
01.01.2019 06:00:00,40783.5,-17.25
01.01.2019 07:00:00,43087.75,-15.07
01.01.2019 08:00:00,46219.5,-4.93
01.01.2019 09:00:00,49144,-6.33
01.01.2019 10:00:00,51206.75,-4.93
01.01.2019 11:00:00,53486.75,0.45
01.01.2019 12:00:00,53289.75,0.12
01.01.2019 13:00:00,51119.5,-0.02
01.01.2019 14:00:00,49660.75,0
01.01.2019 15:00:00,49577.5,-0.03
01.01.2019 16:00:00,51220.5,1.97
01.01.2019 17:00:00,54237.5,9.06
01.01.2019 18:00:00,55165.5,0.07
01.01.2019 19:00:00,53820.25,-4.97
01.01.2019 20:00:00,51244.25,-6.98
01.01.2019 21:00:00,49648.5,-24.93
01.01.2019 22:00:00,48874,-4.87
01.01.2019 23:00:00,45710,-28.93
02.01.2019 00:00:00,42843,-33.57
02.01.2019 01:00:00,41553.5,-45.92
02.01.2019 02:00:00,40785.5,-48.29
02.01.2019 03:00:00,41131,-44.99
02.01.2019 04:00:00,42624,-48.93
02.01.2019 05:00:00,46045.25,-29.91
02.01.2019 06:00:00,53437,-0.01
02.01.2019 07:00:00,58801.25,37.43
02.01.2019 08:00:00,61031.5,48.06
02.01.2019 09:00:00,61391,50.74
02.01.2019 10:00:00,62683.25,47.57
02.01.2019 11:00:00,63739.5,43.94
02.01.2019 12:00:00,63606.25,40.97
02.01.2019 13:00:00,62986.25,44.95
02.01.2019 14:00:00,61564,49.64
02.01.2019 15:00:00,61304,53.67
02.01.2019 16:00:00,62255.75,56.01
02.01.2019 17:00:00,63880.5,56.95
02.01.2019 18:00:00,64004,62.08
02.01.2019 19:00:00,62836,62.11
02.01.2019 20:00:00,58889.5,57.99
02.01.2019 21:00:00,56079.5,55.64
02.01.2019 22:00:00,53366.75,55.13
02.01.2019 23:00:00,49038.25,50.76
03.01.2019 00:00:00,48292.75,42.91
03.01.2019 01:00:00,46708,45.22
03.01.2019 02:00:00,46057.25,45.63
03.01.2019 03:00:00,46258.25,44
03.01.2019 04:00:00,47408.5,43.88
03.01.2019 05:00:00,49721.25,45.92
03.01.2019 06:00:00,54005.5,51.07
03.01.2019 07:00:00,59670.5,52.77
03.01.2019 08:00:00,62549.75,62.89
03.01.2019 09:00:00,63528,60.03
03.01.2019 10:00:00,63905.25,58.19
03.01.2019 11:00:00,64728,62.99
03.01.2019 12:00:00,64033.5,63.52
03.01.2019 13:00:00,62847.25,64.67
03.01.2019 14:00:00,61789.75,65.24
03.01.2019 15:00:00,62202.25,67.76
03.01.2019 16:00:00,63716.25,68.41
03.01.2019 17:00:00,65744.5,69.55
03.01.2019 18:00:00,65642.75,67.28
03.01.2019 19:00:00,63746,69.46
03.01.2019 20:00:00,60134.25,68.38
03.01.2019 21:00:00,57337.25,61.72
03.01.2019 22:00:00,54495.25,53.72
03.01.2019 23:00:00,51019.5,49.98
04.01.2019 00:00:00,46445.5,50.73
04.01.2019 01:00:00,44568.75,47.11
