Date;Time of day;Total[MWh];Wind offshore[MWh];Wind onshore[MWh];Photovoltaics[MWh];Other[MWh]
Jan 1, 2019;12:00 AM;57,054;1,261;4,556;0;33,105
Jan 1, 2019;12:15 AM;-;1,265;4,663;0;-
Jan 1, 2019;12:30 AM;-;1,270;4,774;0;-
Jan 1, 2019;12:45 AM;-;1,274;4,887;0;-
Jan 1, 2019;1:00 AM;57,400;1,278;5,000;0;31,731
Jan 1, 2019;1:15 AM;-;1,254;5,102;0;-
Jan 1, 2019;1:30 AM;-;1,255;5,208;0;-
Jan 1, 2019;1:45 AM;-;1,256;5,318;0;-
Jan 1, 2019;2:00 AM;57,275;1,256;5,423;0;29,891
Jan 1, 2019;2:15 AM;-;1,257;5,532;0;-
Jan 1, 2019;2:30 AM;-;1,257;5,644;0;-
Jan 1, 2019;2:45 AM;-;1,258;5,757;0;-
Jan 1, 2019;3:00 AM;58,024;1,258;5,870;0;29,014
Jan 1, 2019;3:15 AM;-;1,258;5,979;0;-
Jan 1, 2019;3:30 AM;-;1,232;6,038;0;-
Jan 1, 2019;3:45 AM;-;1,231;6,145;0;-
Jan 1, 2019;4:00 AM;59,301;1,230;6,248;0;28,942
Jan 1, 2019;4:15 AM;-;1,228;6,328;0;-
Jan 1, 2019;4:30 AM;-;1,226;6,409;0;-
Jan 1, 2019;4:45 AM;-;1,224;6,466;0;-
Jan 1, 2019;5:00 AM;59,895;1,222;6,523;0;28,486
Jan 1, 2019;5:15 AM;-;1,222;6,596;0;-
Jan 1, 2019;5:30 AM;-;1,221;6,673;0;-
Jan 1, 2019;5:45 AM;-;1,219;6,735;0;-
Jan 1, 2019;6:00 AM;61,103;1,218;6,918;0;28,168
Jan 1, 2019;6:15 AM;-;1,219;6,984;0;-
Jan 1, 2019;6:30 AM;-;1,220;7,047;0;-
Jan 1, 2019;6:45 AM;-;1,220;7,111;0;-
Jan 1, 2019;7:00 AM;62,545;1,222;7,170;0;28,807
Jan 1, 2019;7:15 AM;-;1,223;7,197;0;-
Jan 1, 2019;7:30 AM;-;1,224;7,224;0;-
Jan 1, 2019;7:45 AM;-;1,225;7,255;0;-
Jan 1, 2019;8:00 AM;64,231;1,225;7,271;2;29,977
Jan 1, 2019;8:15 AM;-;1,226;7,300;9;-
Jan 1, 2019;8:30 AM;-;1,228;7,330;21;-
Jan 1, 2019;8:45 AM;-;1,229;7,366;48;-
Jan 1, 2019;9:00 AM;67,016;1,230;7,401;87;31,584
Jan 1, 2019;9:15 AM;-;1,230;7,442;134;-
Jan 1, 2019;9:30 AM;-;1,231;7,484;189;-
Jan 1, 2019;9:45 AM;-;1,232;7,527;246;-
Jan 1, 2019;10:00 AM;70,886;1,232;7,568;298;34,040
Jan 1, 2019;10:15 AM;-;1,232;7,597;344;-
Jan 1, 2019;10:30 AM;-;1,231;7,626;390;-
Jan 1, 2019;10:45 AM;-;1,229;7,671;430;-
Jan 1, 2019;11:00 AM;73,525;1,228;7,713;466;35,540
Jan 1, 2019;11:15 AM;-;1,225;7,750;498;-
Jan 1, 2019;11:30 AM;-;1,221;7,787;523;-
Jan 1, 2019;11:45 AM;-;1,214;7,821;541;-
Jan 1, 2019;12:00 PM;73,603;1,206;7,859;554;35,175
Jan 1, 2019;12:15 PM;-;1,134;7,878;559;-
Jan 1, 2019;12:30 PM;-;1,125;7,925;556;-
Jan 1, 2019;12:45 PM;-;1,117;7,972;545;-
Jan 1, 2019;1:00 PM;72,551;1,109;8,018;527;33,875
Jan 1, 2019;1:15 PM;-;1,106;8,066;502;-
Jan 1, 2019;1:30 PM;-;1,103;8,112;464;-
Jan 1, 2019;1:45 PM;-;1,099;8,149;423;-
Jan 1, 2019;2:00 PM;70,371;1,097;8,187;378;31,782
Jan 1, 2019;2:15 PM;-;1,096;8,234;327;-
Jan 1, 2019;2:30 PM;-;1,097;8,280;269;-
Jan 1, 2019;2:45 PM;-;1,097;8,318;211;-
Jan 1, 2019;3:00 PM;71,041;1,097;8,354;157;32,593
Jan 1, 2019;3:15 PM;-;1,093;8,395;107;-
Jan 1, 2019;3:30 PM;-;1,102;8,455;67;-
Jan 1, 2019;3:45 PM;-;1,097;8,488;36;-
Jan 1, 2019;4:00 PM;73,089;1,091;8,523;14;34,357
Jan 1, 2019;4:15 PM;-;1,086;8,570;5;-
Jan 1, 2019;4:30 PM;-;1,082;8,623;1;-
Jan 1, 2019;4:45 PM;-;1,076;8,663;0;-
Jan 1, 2019;5:00 PM;76,198;1,069;8,703;0;36,907
Jan 1, 2019;5:15 PM;-;1,061;8,744;0;-
Jan 1, 2019;5:30 PM;-;1,055;8,783;0;-
Jan 1, 2019;5:45 PM;-;1,040;8,837;0;-
Jan 1, 2019;6:00 PM;76,738;1,030;8,881;0;36,874
Jan 1, 2019;6:15 PM;-;1,025;8,923;0;-
Jan 1, 2019;6:30 PM;-;1,019;8,966;0;-
Jan 1, 2019;6:45 PM;-;1,013;9,008;0;-
Jan 1, 2019;7:00 PM;76,180;1,008;9,049;0;35,902
Jan 1, 2019;7:15 PM;-;1,003;9,065;0;-
Jan 1, 2019;7:30 PM;-;1,003;9,071;0;-
Jan 1, 2019;7:45 PM;-;997;9,083;0;-
Jan 1, 2019;8:00 PM;73,873;990;9,092;0;33,519
