Date;Time of day;Germany/Luxembourg[€/MWh];Denmark 1[€/MWh];Denmark 2[€/MWh];France[€/MWh];Northern Italy[€/MWh];Netherlands[€/MWh];Poland[€/MWh];Sweden 4[€/MWh];Switzerland[€/MWh];Slovenia[€/MWh];Czech Republic[€/MWh];Hungary[€/MWh];Austria[€/MWh];DE/AT/LU[€/MWh];Belgium[€/MWh];Norway 2[€/MWh]
Jan 1, 2021;12:00 AM;50.87;50.87;50.87;50.87;50.87;50.87;34.18;24.95;50.98;50.87;45.54;45.54;50.87;-;50.87;24.95
Jan 1, 2021;1:00 AM;48.19;48.19;48.19;48.19;48.19;48.19;32.61;24.35;45.94;48.19;41.59;41.59;48.19;-;48.19;24.35
Jan 1, 2021;2:00 AM;44.68;44.68;44.68;44.68;44.68;44.68;32.58;23.98;44.53;44.68;40.05;40.05;44.68;-;44.68;23.98
Jan 1, 2021;3:00 AM;42.92;42.92;42.92;42.92;42.92;42.92;32.2;23.72;41.01;42.92;36.9;36.9;42.92;-;42.92;23.72
Jan 1, 2021;4:00 AM;40.39;40.39;40.39;40.39;40.39;40.39;29.16;23.73;39.23;40.39;34.47;34.47;40.39;-;40.39;23.73
Jan 1, 2021;5:00 AM;40.2;40.2;40.2;40.2;40.2;40.2;28.46;24.06;38.43;40.2;32.82;32.82;40.2;-;40.2;24.06
Jan 1, 2021;6:00 AM;39.63;39.63;39.63;39.63;39.63;39.63;28.11;24.44;39.57;39.63;30.71;27.7;39.63;-;39.63;24.44
Jan 1, 2021;7:00 AM;40.09;40.09;40.09;40.09;40.09;40.09;28.46;24.93;40.78;5.91;15;15;40.09;-;40.09;24.93
Jan 1, 2021;8:00 AM;41.27;41.27;41.27;41.27;41.27;41.27;28.46;24.9;42.72;41.27;8.43;8.43;41.27;-;41.27;24.9
Jan 1, 2021;9:00 AM;44.88;44.88;44.88;44.88;41.67;44.88;30.62;25.07;44.32;41.67;26.2;20.77;44.88;-;44.88;25.07
Jan 1, 2021;10:00 AM;45;45;45;45;45;45;32.49;30.02;46.14;45;31.64;27.7;45;-;45;25.63
Jan 1, 2021;11:00 AM;47.2;47.2;47.2;47.2;47.2;47.2;37.14;37.14;46.35;46;42.4;38.91;47.2;-;47.2;25.92
Jan 1, 2021;12:00 PM;50.78;50.78;50.78;50.78;48.43;50.78;39.05;39.05;48.9;46;43.88;41.78;50.78;-;50.78;26.13
Jan 1, 2021;1:00 PM;45.49;45.49;45.49;45.49;45.49;45.49;40.59;40.59;48.52;45.49;45.1;41.3;45.49;-;45.49;26.57
Jan 1, 2021;2:00 PM;44.73;44.73;44.73;44.73;44.73;44.73;40.79;40.79;48.05;44.73;43.01;42.74;44.73;-;44.73;27.3
Jan 1, 2021;3:00 PM;46.59;46.59;46.59;46.59;46.59;46.59;45.47;45.47;49.02;46.59;44.32;43.06;46.59;-;46.59;28.61
Jan 1, 2021;4:00 PM;52.99;52.99;52.99;52.99;52.99;52.99;51.72;51.72;53.73;52.99;49.33;49.33;52.99;-;52.99;29.35
Jan 1, 2021;5:00 PM;60.26;60.26;60.26;60.26;60.26;60.26;55.39;55.39;57.72;60.26;54.81;54.81;60.26;-;60.26;29.3
Jan 1, 2021;6:00 PM;60.61;60.61;60.61;60.61;60.61;60.61;53.01;53.01;58.3;60.61;55;55;60.61;-;60.61;28.82
Jan 1, 2021;7:00 PM;60.36;60.36;60.36;60.36;60.36;60.36;55.74;55.74;58.12;60.36;55;55;60.36;-;60.36;28.25
Jan 1, 2021;8:00 PM;57.4;57.4;57.4;57.4;57.4;57.4;54.94;54.94;56.46;57.4;54.74;54.74;57.4;-;57.4;27.32
Jan 1, 2021;9:00 PM;53.86;53.86;53.86;53.86;53.86;53.86;50.82;50.82;53.89;53.86;51.5;51.5;53.86;-;53.86;26.98
Jan 1, 2021;10:00 PM;53.45;53.45;53.45;53.45;53.45;53.45;45.22;45.22;52.02;53.45;51.25;51.25;53.45;-;53.45;26.44
Jan 1, 2021;11:00 PM;49.72;49.72;49.72;49.72;49.72;49.72;35.81;25.64;48.72;49.72;46.83;46.83;49.72;-;49.72;25.64
Jan 2, 2021;12:00 AM;46.69;46.69;46.69;46.69;46.69;46.69;39.3;25.59;53.24;0.18;44.1;44.1;46.69;-;46.69;25.59
Jan 2, 2021;1:00 AM;42.43;42.43;42.43;42.43;42.43;42.43;39.37;24.91;49.66;0.17;38.54;38.54;42.43;-;42.43;24.91
Jan 2, 2021;2:00 AM;41.09;41.09;41.09;41.09;41.09;41.09;38.68;24.74;46.04;0.16;38.08;38.08;41.09;-;41.09;24.74
Jan 2, 2021;3:00 AM;40;40;40;40;40;40;37.1;24.66;43.49;0.92;37.1;37.1;40;-;40;24.66
Jan 2, 2021;4:00 AM;37.55;37.55;37.55;37.55;37.55;37.55;37.83;24.72;42.04;0.2;36.88;36.88;37.55;-;37.55;24.72
Jan 2, 2021;5:00 AM;39;39;39;39;39;39;38.53;24.92;42.85;1;37.2;37.2;39;-;39;24.92
Jan 2, 2021;6:00 AM;42.09;42.09;42.09;42.09;42.09;42.09;38.95;30.05;45.26;0.15;40.56;40.56;42.09;-;42.09;25.62
Jan 2, 2021;7:00 AM;44.96;44.96;44.96;44.96;46.57;44.96;44.31;26.19;49.16;1.01;45.2;45.2;44.96;-;44.96;26.19
Jan 2, 2021;8:00 AM;48.45;48.45;48.45;48.45;51.33;48.45;43.3;43.3;53.27;43;49.67;49.67;48.45;-;48.45;26.7
Jan 2, 2021;9:00 AM;52;52;52;52;54.6;52;47.85;47.85;58.83;43.1;55.43;55.43;52;-;52;26.89
Jan 2, 2021;10:00 AM;52;52;52;52;53.17;52;50.75;50.75;59.45;52;57.33;57.33;52;-;52;27.7
Jan 2, 2021;11:00 AM;52.15;52.15;52.15;52.15;52.15;52.15;50.9;50.9;59.75;52.15;57.4;57.4;52.15;-;52.15;28.09
Jan 2, 2021;12:00 PM;55.95;55.95;55.95;55.95;55.95;55.95;53.75;53.75;60.19;55.95;56.9;56.9;55.95;-;55.95;27.84
Jan 2, 2021;1:00 PM;52;52;52;52;52;52;50.75;50.75;59.19;52;55.3;55.3;52;-;52;27.84
Jan 2, 2021;2:00 PM;50.69;50.69;50.69;50.69;52;50.69;49.48;49.48;57.76;50.69;55;55;50.69;-;50.69;27.91
Jan 2, 2021;3:00 PM;53.45;53.45;53.45;53.45;53.89;53.45;52.16;52.16;59.17;53.45;56.32;56.32;53.45;-;53.45;28.08
Jan 2, 2021;4:00 PM;59.99;59.99;59.99;59.99;59.99;59.99;58.88;58.88;61.71;59.99;63.1;63.1;59.99;-;59.99;28.85
Jan 2, 2021;5:00 PM;62;62;62;62;62;62;60.51;60.51;64.53;62;65.58;67.49;62;-;62;28.93
