"","category","amount","gender","city","state","fraud","age"
"74","personal_care",6.04,"M","Emmons","MN","0",52
"275","personal_care",28.67,"F","Montrose","NY","0",60
"327","food_dining",5.22,"M","Alton","IA","0",19
"776","kids_pets",47.38,"M","Atlantic","VA","0",34
"866","home",26.52,"F","Georgetown","MN","0",44
"1189","personal_care",9.32,"F","Tupper Lake","NY","0",44
"1267","kids_pets",32.28,"F","Kansas City","MO","0",33
"1342","entertainment",74.96,"F","Greendale","WI","0",39
"1417","personal_care",21.23,"F","De Witt","AR","0",27
"1468","travel",6.09,"M","Norman Park","GA","0",17
"1570","food_dining",48.76,"F","Howes Cave","NY","0",50
"1719","home",45.39,"F","Vancouver","WA","0",35
"1859","home",146.57,"M","Whittemore","IA","0",52
"1980","food_dining",15.23,"F","Westerville","NE","0",85
"1991","entertainment",29.78,"M","Key West","FL","0",33
"2118","grocery_pos",74.76,"M","Shrewsbury","MA","0",45
"2263","misc_net",4.85,"F","Ashford","WA","0",64
"2292","gas_transport",70.3,"M","Oakdale","NY","0",67
"2300","gas_transport",49.42,"M","Milwaukee","WI","0",16
"2368","gas_transport",44.08,"M","Port Ewen","NY","0",54
"2428","entertainment",22.25,"F","Delhi","LA","0",56
"2612","gas_transport",46.29,"F","Alpharetta","GA","0",23
"2646","grocery_pos",85.97,"M","San Diego","CA","0",61
"2656","grocery_pos",85.17,"F","Stayton","OR","0",52
"2692","grocery_net",56.19,"F","Walnut Ridge","AR","0",43
"2824","shopping_net",9.94,"F","Queenstown","MD","0",58
"2876","gas_transport",48.43,"M","Churubusco","IN","0",34
"2894","grocery_pos",134.87,"F","Ogdensburg","NJ","0",26
"2929","gas_transport",51,"M","San Antonio","TX","0",45
"3063","misc_net",108.11,"M","Grand Junction","TN","0",46
"3107","grocery_pos",55.12,"M","Highland","IN","0",38
"3294","entertainment",31.09,"F","West Henrietta","NY","0",52
"3313","shopping_net",45.63,"F","Slayden","TN","0",64
"3376","misc_net",4.69,"M","Deadwood","SD","0",50
"3452","entertainment",4.49,"F","Stayton","OR","0",52
"3558","gas_transport",68.86,"F","Grand Bay","AL","0",63
"3595","shopping_pos",1.91,"M","Tickfaw","LA","0",69
"3717","health_fitness",53.31,"F","Creedmoor","NC","0",33
"3822","health_fitness",98.67,"M","Springfield","VA","0",70
"3996","shopping_pos",1.43,"F","Sheffield","MA","0",47
"4008","shopping_pos",1170.57,"F","Knoxville","TN","0",26
"4022","personal_care",23.49,"M","Belmond","IA","0",56
"4050","personal_care",244.45,"F","Cisco","IL","0",60
"4101","entertainment",86.75,"M","Bryant","WI","0",41
"4190","kids_pets",7.45,"F","Topeka","KS","0",16
"4214","shopping_pos",8.91,"F","Cleveland","TX","0",25
"4506","health_fitness",76.78,"M","Saxon","WI","0",34
"4683","home",81.58,"M","Helm","CA","0",47
"4951","personal_care",52.42,"F","Laramie","WY","0",32
"5042","entertainment",64.7,"M","Rock Tavern","NY","0",83
"5206","misc_pos",7.16,"F","Fullerton","NE","0",47
"5233","shopping_pos",7.03,"F","Rocky Mount","MO","0",32
"5257","shopping_net",1.67,"M","Hudson","NY","0",22
"5292","personal_care",7.19,"M","Cuyahoga Falls","OH","0",54
"5295","shopping_net",2.96,"F","Ford","VA","0",44
"5623","shopping_net",517.36,"F","De Soto","KS","0",42
"6078","shopping_net",3.6,"F","Walnut Ridge","AR","0",43
"6094","food_dining",16.91,"M","Woodville","AL","0",41
"6128","grocery_pos",81.31,"F","Paauilo","HI","0",29
"6166","gas_transport",74.01,"F","Spencer","SD","0",48
"6427","grocery_net",24.5,"M","Coffeeville","MS","0",36
"6428","gas_transport",79.02,"F","Avoca","IA","0",49
"6667","misc_net",170.42,"M","Naples","FL","0",41
"6990","grocery_pos",137.08,"M","Cass","WV","0",50
"7038","misc_net",9.02,"F","Scotland","MD","0",44
"7152","shopping_net",92.02,"M","Bridger","MT","0",42
"7370","food_dining",19.43,"M","Grand Bay","AL","0",72
"7419","grocery_pos",38.36,"M","Hawthorne","CA","0",25
"7578","grocery_pos",113.26,"M","Wales","AK","0",81
"7677","kids_pets",38.56,"F","San Jose","CA","0",23
"7758","kids_pets",6.39,"F","Louisville","KY","0",68
"8186","food_dining",4.98,"M","East Troy","WI","0",29
"8398","home",27.01,"F","Superior","AZ","0",33
"8420","kids_pets",35.21,"F","Bailey","NC","0",58
"8446","home",57.32,"F","Roma","TX","0",30
"8620","kids_pets",103.61,"F","Bauxite","AR","0",45
"8701","travel",5.98,"F","New Ellenton","SC","0",34
"8736","entertainment",11.36,"M","Saint Francis","KY","0",53
"8801","kids_pets",59.03,"F","Ford","VA","0",44
"8848","kids_pets",22.31,"M","Coffeeville","MS","0",36
"8865","kids_pets",11.12,"M","Westport","KY","0",24
"9011","travel",7.79,"M","Cord","AR","0",82
"9067","entertainment",19.7,"M","Kensington","MD","0",44
"9089","health_fitness",73.8,"M","Easton","KS","0",38
"9160","kids_pets",70.35,"M","Mount Perry","OH","0",67
"9187","kids_pets",52.63,"M","Oaks","PA","0",33
"9234","kids_pets",52.49,"M","Egan","LA","0",48
"9241","health_fitness",14.17,"F","Holstein","NE","0",70
"9569","personal_care",31,"M","Bolton","NC","0",75
"9617","entertainment",25.02,"F","Ratcliff","TX","0",71
"9916","food_dining",76.77,"M","Hewitt","WI","0",29
"9917","home",50.25,"F","Hinckley","OH","0",32
"9962","shopping_net",1.72,"F","Dayton","OH","0",50
"10022","grocery_pos",61.38,"M","Lonsdale","MN","0",33
"10065","grocery_pos",127.4,"M","Mallie","KY","0",94
"10070","gas_transport",37.16,"F","Brownville","NY","0",62
"10205","grocery_pos",84.25,"F","Arcadia","SC","0",31
"10279","shopping_pos",147.01,"F","Randolph","OH","0",60
"10889","food_dining",66.94,"M","Cazenovia","WI","0",36
"10949","misc_pos",61.81,"F","Hurricane","WV","0",40
"11113","kids_pets",40.02,"F","Heart Butte","MT","0",48
"11125","home",66.41,"F","Maysville","KY","0",49
"11135","health_fitness",9.58,"M","Fulton","OH","0",15
"11197","health_fitness",43.02,"M","South Richmond Hill","NY","0",83
"11314","kids_pets",18.96,"F","Keisterville","PA","0",75
"11336","shopping_net",7.85,"F","Avoca","IA","0",49
"11446","home",150.2,"M","Andrews","NC","0",55
"11524","health_fitness",66.34,"F","Philadelphia","PA","0",35
"11554","misc_pos",152.08,"M","Hovland","MN","0",19
"11755","shopping_net",4.71,"M","Denham Springs","LA","0",26
"11969","grocery_pos",55.57,"M","Monmouth Beach","NJ","0",42
"12055","grocery_pos",201.82,"F","De Witt","AR","0",27
"12090","gas_transport",67.79,"M","Huntsville","AL","0",61
"12198","grocery_pos",123.02,"M","Stoneham","MA","0",56
"12209","gas_transport",69.01,"M","Bryant","WI","0",41
"12400","grocery_net",54.76,"F","Blooming Grove","TX","0",42
"12434","shopping_net",2.44,"M","Mallie","KY","0",94
"12560","shopping_net",5.27,"F","Rochester","KY","0",73
"12643","misc_pos",6.37,"F","Fields Landing","CA","0",91
"13103","shopping_pos",7.24,"F","Leonard","TX","0",43
"13319","home",98.84,"F","Kilgore","TX","0",37
"13388","travel",3.62,"F","Sturgis","MS","0",60
"13510","food_dining",4.2,"F","Avoca","IA","0",49
"13624","entertainment",85.8,"F","Slayden","TN","0",64
"13712","food_dining",5.8,"F","Hedrick","IA","0",21
"13830","misc_pos",126.72,"F","Ranier","MN","0",20
"13882","entertainment",50.34,"F","Meridian","TX","0",50
"13885","entertainment",10.27,"F","Cottekill","NY","0",30
"13918","kids_pets",83.77,"M","Auburn","ME","0",62
"13975","misc_net",9.08,"F","Surrency","GA","0",94
"14071","grocery_net",50.11,"F","Walnut Ridge","AR","0",43
"14116","grocery_net",83.7,"M","Elizabeth","NJ","0",40
"14179","gas_transport",63.24,"F","Coleman","TX","0",58
"14277","gas_transport",73.44,"F","Plymouth","CT","0",47
"14300","gas_transport",70.5,"F","Keisterville","PA","0",75
"14441","gas_transport",41.93,"F","Drakes Branch","VA","0",35
"14454","shopping_net",2.72,"M","Wittenberg","WI","0",66
"14598","shopping_net",2.52,"F","Holstein","NE","0",70
"14625","gas_transport",46.43,"F","Eugene","OR","0",56
"14637","misc_net",4.53,"F","Heislerville","NJ","0",80
"14691","grocery_pos",217.22,"F","Burbank","WA","0",39
"14705","grocery_pos",75.65,"M","Utica","KS","0",58
"14828","grocery_pos",99.51,"M","Mayersville","MS","0",41
"14931","entertainment",33.18,"F","Matthews","MO","0",41
"14993","health_fitness",79.8,"M","Pointe Aux Pins","MI","0",26
"15010","shopping_pos",47.97,"F","Plainfield","NJ","0",46
"15086","shopping_pos",51.47,"F","Lakeland","FL","0",41
"15103","food_dining",25.09,"M","Matawan","NJ","0",27
"15127","food_dining",1.93,"M","Cedar","MI","0",45
"15347","shopping_pos",8.28,"F","Daly City","CA","0",29
"15429","kids_pets",149.48,"F","San Jose","CA","0",65
"15642","shopping_net",40.93,"M","Sauk Rapids","MN","0",33
"15653","travel",4.59,"M","Ruckersville","VA","0",45
"15701","travel",4.4,"F","Vero Beach","FL","0",34
"15791","health_fitness",7.46,"F","Metairie","LA","0",69
"15967","travel",8.82,"M","Murfreesboro","TN","0",42
"16001","food_dining",6.95,"M","Tamaroa","IL","0",59
"16316","misc_pos",2.08,"F","Daly City","CA","0",29
