Country,LSI,GINI,CORRUPT,DEMOCRACY,LIFE
Albania,4.4,28.2,2.5,2.5,77.43
Algeria,5.2,35.3,2.8,1.5,73.26
Argentina,6.8,52.2,2.8,5.5,76.12
Armenia,3.7,41.3,2.9,3,71.84
Australia,7.7,35.2,8.8,6,80.5
Austria,8,31,8.7,6,79.07
Azerbaijan,4.9,36.5,2.2,1.5,63.85
Bangladesh,5.7,31.8,1.7,3.5,62.46
Belarus,4,30.4,2.6,1,69.08
Belgium,7.3,25,7.4,5.5,78.77
Bolivia,5.8,60.6,2.5,5,65.84
Bosnia,5.1,26.2,2.9,2.5,78
Brazil,6.8,59.7,3.7,4,71.97
United Kingdom,7.1,36.8,8.6,5.5,78.54
Bulgaria,4.2,31.9,4,4.5,72.3
Canada,7.6,33.1,8.4,6,80.22
Chile,6.7,57.1,7.3,5,76.77
China,6.3,44,3.2,0.5,72.58
Colombia,8.1,53.8,4,3,71.99
Croatia,5.9,29,3.4,4.5,74.68
Czechia,6.4,25.4,4.3,5.5,76.22
Denmark,8.2,23.2,9.5,6,77.79
Dominican Republic,6.8,47.4,3,5,71.73
Egypt,4.8,34.4,3.4,1.5,71.29
El Salvador,7.2,52.5,4.2,4.5,71.49
Estonia,5.1,37.2,6.4,5.5,72.04
Finland,7.7,26.9,9.6,6,78.5
France,6.5,32.7,7.5,5.5,79.73
Germany,7.2,28.3,8.2,5.5,78.8
Ghana,4.8,30,3.5,4.5,58.87
Greece,6.4,35.1,4.3,5,79.24
Guatemala,7.6,48.3,2.5,3.5,69.83
Honduras,7.1,55,2.6,4,69.33
Hungary,5.6,24.4,5,5.5,72.66
Iceland,7.8,35.9,9.7,6,80.31
India,6.2,32.5,2.9,4.5,64.71
Indonesia,6.6,34.3,2.2,3.5,69.87
Iran,6,43,2.9,1,70.26
Ireland,7.6,35.9,7.4,6,77.73
Israel,6.7,34,6.3,5,79.46
Italy,6.9,36,5,5.5,79.81
Japan,6.2,37.9,7.3,5.5,81.25
Jordan,5.2,36.4,5.7,3,78.4
Kenya,5.2,44.5,2.1,1.5,49.83
Latvia,4.7,32,4.2,5.5,71.33
Lithuania,4.6,31.9,4.8,5.5,74.2
Macedonia,4.9,28.2,2.7,3.5,73.97
Mali,4.9,50.5,2.9,4.5,49
Mexico,7.6,54.6,3.5,4.5,75.41
Moldova,3.5,36.2,2.9,4,65.65
Morocco,5.6,40,3.2,2.5,70.94
Netherlands,7.5,30.9,8.6,6,78.96
New Zealand,7.2,36.2,9.6,6,78.81
Nigeria,6.4,50.6,1.9,3,47.08
Norway,7.6,25.8,8.9,6,79.54
Pakistan,4.3,41,2.1,1.5,63.39
Peru,6,49.8,3.5,3.5,69.84
Philippines,6.4,46.6,2.5,4.5,70.21
Poland,5.9,34.1,3.4,5.5,74.97
Portugal,6,38.5,6.5,6,77.7
Romania,5,28.8,3,5,71.63
Russia,4.4,40,2.4,2,67.08
Senegal,5.7,41.3,3.2,3.5,59.25
Slovakia,5.5,25.8,4.3,5.5,74.73
Slovenia,6.7,28.4,6.1,5.5,76.33
South-Africa,5.5,59.3,4.5,5.5,42.73
South-Korea,5.8,35.8,5,5,77.04
Spain,6.9,32.5,7,5.5,79.65
Sweden,7.7,25,9.2,6,80.51
Switzerland,8.1,33.1,9.1,6,80.51
Tanzania,3.2,38.2,2.9,3,45.64
Turkey,5.2,42,3.5,2.5,72.62
Uganda,5.1,43,2.5,1.5,52.67
Ukraine,3.6,29,2.6,3,69.88
Uruguay,6.7,44.6,5.9,6,76.33
USA,7.4,45,7.6,6,77.85
Uzbekistan,6.2,26.8,2.2,0.5,64.58
Venezuela,6.8,49.1,2.3,3,74.54
Vietnam,6.1,36.1,2.6,0.5,70.85
Zimbabwe,3.3,56.8,2.6,1.5,39.29
