"","Loss","ALAE","Limit","Censored"
"1",10,3806,5e+05,0
"2",24,5658,1e+06,0
"3",45,321,1e+06,0
"4",51,305,5e+05,0
"5",60,758,5e+05,0
"6",74,8768,2e+06,0
"7",75,1805,5e+05,0
"8",78,78,5e+05,0
"9",87,46534,5e+05,0
"10",100,489,3e+05,0
"11",115,20,1e+06,0
"12",123,60790,3e+05,0
"13",133,2305,3e+05,0
"14",140,1940,1e+06,0
"15",147,125,5e+05,0
"16",147,2881,750000,0
"17",165,5235,5e+05,0
"18",192,915,1e+05,0
"19",200,1361,50000,0
"20",300,348,5e+05,0
"21",308,30735,1e+06,0
"22",311,1081,5e+05,0
"23",326,4201,1e+06,0
"24",350,76,NA,0
"25",350,1255,3e+05,0
"26",400,1336,1e+05,0
"27",500,164,1e+05,0
"28",500,179,1e+06,0
"29",500,723,1e+06,0
"30",500,1193,1e+06,0
"31",500,1406,1e+05,0
"32",500,1480,NA,0
"33",500,1527,3e+05,0
"34",500,1938,5e+05,0
"35",500,1995,2e+05,0
"36",500,2215,1e+06,0
"37",500,2706,5e+05,0
"38",500,2778,5e+05,0
"39",500,2936,1e+06,0
"40",500,3815,1e+06,0
"41",500,4419,3e+05,0
"42",500,4495,1e+06,0
"43",500,5371,50000,0
"44",500,5609,5e+05,0
"45",500,6350,3e+05,0
"46",500,9317,5e+05,0
"47",500,10246,5e+05,0
"48",500,14752,3e+05,0
"49",500,19261,3e+05,0
"50",520,2373,5e+05,0
"51",578,1925,1e+06,0
"52",600,1458,3e+05,0
"53",600,5057,5e+05,0
"54",634,211,1e+06,0
"55",667,2369,1e+06,0
"56",700,748,NA,0
"57",750,748,1e+06,0
"58",750,1737,5e+05,0
"59",750,2147,5e+05,0
"60",750,3184,1e+06,0
"61",750,3564,NA,0
"62",750,4788,1e+06,0
"63",750,7865,5e+05,0
"64",798,1553,5e+05,0
"65",800,5773,5e+05,0
"66",833,7607,1e+06,0
"67",833,9900,1e+06,0
"68",875,4565,5e+05,0
"69",900,968,50000,0
"70",909,9215,7500000,0
"71",916,5522,1e+05,0
"72",1000,321,NA,0
"73",1000,407,1e+06,0
"74",1000,450,750000,0
"75",1000,464,5e+05,0
"76",1000,484,NA,0
"77",1000,780,1e+06,0
"78",1000,946,50000,0
"79",1000,1088,5e+05,0
"80",1000,1289,5e+05,0
"81",1000,1320,5e+05,0
"82",1000,1352,5e+05,0
"83",1000,1872,5e+05,0
"84",1000,1940,3e+05,0
"85",1000,2293,250000,0
"86",1000,2302,1e+06,0
"87",1000,2481,1e+05,0
"88",1000,2488,5e+05,0
"89",1000,2495,3e+05,0
"90",1000,2750,1e+06,0
"91",1000,3388,5e+05,0
"92",1000,3434,1e+06,0
"93",1000,4149,5e+05,0
"94",1000,4927,1e+06,0
"95",1000,5675,1e+06,0
"96",1000,6525,5e+05,0
"97",1000,6557,1e+05,0
"98",1000,6626,5e+05,0
"99",1000,6829,1e+06,0
"100",1000,6867,5e+05,0
"101",1000,7797,5e+05,0
"102",1000,8523,5e+05,0
"103",1000,9412,1e+06,0
"104",1000,11124,5e+05,0
"105",1000,20564,1e+06,0
"106",1075,2168,3e+05,0
"107",1091,2199,3e+05,0
"108",1100,170,5e+05,0
"109",1122,1422,1e+06,0
"110",1125,1224,3e+05,0
"111",1200,984,3e+05,0
"112",1200,1251,1e+05,0
"113",1200,2456,50000,0
"114",1250,365,NA,0
"115",1250,371,3e+05,0
"116",1250,479,25000,0
"117",1250,531,5e+05,0
"118",1250,774,2e+06,0
"119",1250,2090,1e+06,0
"120",1250,2488,NA,0
"121",1250,3523,NA,0
"122",1298,1032,1e+05,0
"123",1300,1409,1e+06,0
"124",1300,2507,250000,0
"125",1310,1459,250000,0
"126",1333,999,250000,0
"127",1375,9459,1e+06,0
"128",1450,2750,5e+05,0
"129",1456,3911,1e+05,0
"130",1500,60,1e+06,0
"131",1500,301,NA,0
"132",1500,318,NA,0
"133",1500,436,1e+06,0
"134",1500,834,NA,0
"135",1500,1275,NA,0
"136",1500,1315,1e+05,0
"137",1500,1686,1e+06,0
"138",1500,2286,NA,0
"139",1500,2422,5e+05,0
"140",1500,2919,1e+06,0
"141",1500,3247,150000,0
"142",1500,3598,1e+06,0
"143",1500,4701,3e+05,0
"144",1500,4860,5e+05,0
"145",1500,4870,5e+05,0
"146",1500,6528,5e+05,0
"147",1500,6990,1e+06,0
"148",1500,7689,1e+05,0
"149",1500,8131,5000,0
