DATE,GEO,OUT-OF-HOME,PRINT,BROADCAST,NET-SALES,UNIQUE-WEBSITE-VISITORS,SOCIAL-MEDIA-VOLUM,SALES-INCREASE,U-W-VISITORS-INCREASE,SOCIAL-MEDIA-VOLUME-INCREASE
2/13/17,Kentucky,6,5,1,137452,3974,4,-3,-2,0
2/12/17,NI,8,6,1,147376,3732,8,7,-3,7
3/7/17,Virginia,1,1,2,148252,3127,5,2,0,-3
3/14/17,SIC,9,5,3,151842,3091,3,7,2,5
2/5/17,DE,6,3,3,155207,4791,5,8,7,-2
1/3/17,IN,5,4,3,163855,5066,6,5,-3,0
3/5/17,SJ,3,9,4,175243,3096,4,6,-3,3
3/1/17,OV,8,1,4,193623,3371,5,1,8,-2
12/25/16,Texas,1,4,4,198238,4992,6,0,0,7
12/23/16,WA,3,6,4,198267,4725,7,-1,8,7
2/14/17,JK,8,4,5,201070,5026,8,5,0,8
1/24/17,PB,5,9,6,202392,2988,6,0,8,6
1/23/17,SO,7,8,6,212052,3814,8,6,8,-1
1/1/17,E,8,8,6,217510,3264,8,5,3,6
3/17/17,Małopolskie,6,3,7,221501,3144,8,8,3,8
3/8/17,Stockholms län,8,8,7,223374,4502,8,-1,2,8
1/21/17,UP,10,3,7,232517,3175,7,2,-1,1
3/25/17,Jönköpings län,5,10,9,236677,3346,8,7,7,2
3/10/17,Alajuela,10,5,10,241466,3836,5,6,4,-2
2/9/17,Ontario,3,4,10,242739,3023,8,4,-1,0
