Year;Gender;Age; Marital Status;Educational Level;Religion;Job;Description of the charge;crime;Number
2012;Female;42;Married;illiterate;Muslim;House Wife;Stealing from / on a farm;Burglary;1
2012;Female;35;Divorced;Preparatory School;Muslim;House Wife;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;31;Married;Preparatory School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;28;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;69;Married;High School;Muslim;Business Man;Theft from / in the park;Thefting;1
2012;Male;55;Single;High School;Muslim;Business Man;Stealing from / on a farm;Burglary;1
2012;Male;34;Married;High School;Muslim;Student;Stealing from / on a farm;Burglary;1
2012;Male;20;Single;High School;Muslim;Student;The attempted murder;Murder;1
2012;Female;34;Married;High School;Muslim;House Wife;House Burglary ;Burglary;1
2012;Male;35;Married;High School;Muslim;Not Specified;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;30;Married;High School;Muslim;Employee;Motorcycle theft;Thefting;1
2012;Male;60;Married;High School;Muslim;Retired;Stealing from / on a farm;Burglary;1
2012;Female;30;Married;High School;Muslim;House Wife;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;21;Married;High School;Muslim;Not Specified;Stealing from / on a farm;Burglary;1
2012;Male;61;Married;High School;Muslim;Employee;Theft from / in the warehouse;Thefting;1
2012;Male;24;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Female;48;Married;High School;Muslim;House Wife;The attempted murder;Murder;1
2012;Male;31;Married;High School;Muslim;Employee;House Burglary ;Burglary;1
2012;Female;24;Married;High School;Muslim;House Wife;Theft from / in the villa;Burglary;1
2012;Female;53;Married;High School;Muslim;House Wife;House Burglary ;Burglary;1
2012;Male;49;Not Specified;High School;Muslim;Not Specified;Theft from / in a desert or remote area;Thefting;1
2012;Male;52;Not Specified;High School;Muslim;Fireman;Murder;Murder;1
2012;Male;51;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;24;Married;High School;Muslim;Not Specified;The attempted murder;Murder;1
2012;Female;36;Married;High School;Muslim;House Wife;House Burglary ;Burglary;1
2012;Male;45;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;65;Married;High School;Muslim;companion;Stealing from / on a farm;Burglary;1
2012;Male;78;Not Specified;High School;Muslim;Retired;Stealing from / on a farm;Burglary;1
2012;Male;23;Married;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;21;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;39;Married;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Male;64;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;38;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;36;Married;High School;Muslim;Student;Car Thift;Thefting;1
2012;Male;44;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;30;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;37;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;41;Married;High School;Muslim;Student;Car Thift;Thefting;1
2012;Male;55;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;44;Single;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;30;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;56;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Female;54;Divorced;High School;Muslim;House Wife;Stealing from / on a farm;Burglary;1
2012;Male;56;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;34;Not Specified;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;54;Single;High School;Muslim;Business Man;Theft from / in a desert or remote area;Thefting;1
2012;Male;54;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;54;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;31;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;53;Married;High School;Muslim;Employee;Theft from / in a company or institution;Thefting;1
2012;Female;44;Married;High School;Muslim;House Wife;Car Thift;Thefting;1
2012;Male;20;Single;High School;Muslim;Not Specified;Stealing from / on a farm;Burglary;1
2012;Male;28;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;43;Single;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;34;Married;High School;Muslim;Employee;Theft from / in the villa;Burglary;1
2012;Male;56;Married;High School;Muslim;Guard;Stealing from / on a farm;Burglary;1
2012;Male;62;Married;High School;Muslim;Retired;Stealing from / on a farm;Burglary;1
2012;Male;24;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;35;Married;High School;Muslim;Employee;Deliberately setting fire to farms;vandalism;1
2012;Male;52;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;55;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;47;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;45;Married;High School;Muslim;Employee;The attempted murder;Murder;1
2012;Male;54;Married;High School;Muslim;companion;Theft from / in farm;Burglary;1
2012;Male;30;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Female;44;Married;High School;Muslim;House Wife;Theft from / in places of worship;Thefting;1
2012;Male;60;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;58;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Male;51;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;45;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;42;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;45;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Female;58;Divorced;High School;Muslim;House Wife;Stealing from / on a farm;Burglary;1
2012;Male;43;Married;High School;Muslim;Unemployed;Stealing from / on a farm;Burglary;1
2012;Male;45;Married;High School;Muslim;Retired;Stealing from / on a farm;Burglary;1
2012;Male;41;Married;High School;Muslim;Employee;Theft from / in the villa;Burglary;1
2012;Male;51;Divorced;High School;Muslim;Employee;Theft from / in the villa;Burglary;1
2012;Female;39;Married;High School;Muslim;House Wife;Theft from / on a public road;Thefting;1
2012;Male;36;Divorced;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;47;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;31;Single;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;48;Married;High School;Muslim;Not Specified;Stealing from / on a farm;Burglary;1
2012;Male;38;Married;High School;Muslim;Employee;Theft from / in farm;Burglary;1
2012;Female;58;Married;High School;Muslim;House Wife;Stealing from / on a farm;Burglary;1
2012;Female;30;Not Specified;High School;Muslim;House Wife;Assaulting the safety of the body of others leading to death;Assault;1
2012;Male;22;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;51;Married;High School;Muslim;Employee;Theft from / in the warehouse;Thefting;1
2012;Male;35;Married;High School;Muslim;Employee;House Burglary ;Burglary;1
2012;Male;52;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;28;Single;High School;Muslim;Student;Theft from / in farm;Burglary;1
2012;Male;30;Married;High School;Muslim;Employee;Car Thift;Thefting;1
2012;Male;78;Divorced;High School;Muslim;Unemployed;Theft from / in the villa;Burglary;1
2012;Male;20;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;67;Married;High School;Muslim;Retired;Stealing from / on a farm;Burglary;1
2012;Male;70;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;54;Married;High School;Muslim;Employee;Theft from / in a building;Thefting;1
2012;Male;23;Single;High School;Muslim;Student;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;23;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;21;Married;High School;Muslim;Employee;Attacking the integrity of the body of others leading to illness or incapacity to work for a period of more than 20 days;Assault;1
2012;Male;49;Married;High School;Muslim;Employee;Stealing from / on a farm;Burglary;1
2012;Male;31;Married;High School;Muslim;Business Man;House Burglary ;Burglary;1
2012;Male;65;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;38;Married;High School;Muslim;Employee;Theft from / in a desert or remote area;Thefting;1
2012;Male;33;Married;High School;Muslim;Employee;House Burglary ;Burglary;1
