Category,Procuct,Country,Date,Month,Year,Verified,Helpful,Title,Body,Rating,,,
Vitamin C,B000GG87V2,United States ,February 13,February,2015,yes,-,Five Stars,:),5,,,
Vitamin C,B000GG87V2,United States ,October 5,October,2020,yes,-,Good,A good Vitamin C product. Will buy from again. Good price for 250 tablets. Can’t go wrong.,5,,,
Vitamin C,B000GG87V2,United States ,October 11,October,2016,yes,-,Five Stars,A good bargain.,5,,,
Vitamin C,B000GG87V2,United States ,April 22,April,2020,yes,-,Should have a promo of buy one get one free.,A little expensive,4,,,
Vitamin C,B000GG87V2,United States ,October 29,October,2020,yes,yes,Quality product from the quality company,"A quality company that puts out a quality product.....I keep a bottle of these in my bedroom and whenever I feel a cold coming on or some type of discomfort I immediately take one of the vitamins.has the advantage of being quite portable so you can take it on trips, to the office, or even in a suitcase on a trip. High quality vitamin c and I use it all the time to fend off slight chills, headaches, slight aches and pains, runny nose, and the other assortment of things that can happen when your body is overstressed or worn down.",5,,,
Vitamin C,B000GG87V2,United States ,May 1,May,2017,yes,-,Five Stars,A vitamin.,5,,,
Vitamin C,B000GG87V2,United States ,April 19,April,2013,yes,yes,Vitamin C,"According to Dr Oz, Vitamin C is an excellent supplement, according to the label, it's pure Vit C, no additives.",5,,,
Vitamin C,B000GG87V2,United States ,December 31,December,2017,-,yes,One Star,"After I eat it, my stomach is so uncomfortable. It is so sour?",1,,,
Vitamin C,B000GG87V2,United States ,January 13,January,2017,yes,-,Five Stars,All right,5,,,
Vitamin C,B000GG87V2,United States ,September 12,September,2016,yes,-,Five Stars,Always a great product!,5,,,
Vitamin C,B000GG87V2,United States ,January 29,January,2020,yes,-,Trusted Brand!,Always trust this brand. Have purchased from Amazon previously and will buy more.  Package always sealed and in date. You need your vitamin C especially in the winter.  Very easy to swallow.,5,,,
Vitamin C,B000GG87V2,United States ,May 31,May,2017,yes,-,Four Stars,Amazing price,4,,,
Vitamin C,B000GG87V2,United States ,September 16,September,2016,yes,yes,Round tablets/easy to swallow,Arrived new & promptly.Round tabletsEasy to swallowWould order again,5,,,
Vitamin C,B000GG87V2,United States ,March 31,March,2019,yes,-,Would buy again!,Arrived on time. Item as described.  Would buy again.,5,,,
Vitamin C,B000GG87V2,United States ,September 1,September,2020,yes,-,Works fine,"Arrived quickly, generic vitamin",5,,,
Vitamin C,B000GG87V2,United States ,March 22,March,2018,yes,-,Five Stars,As I expected!,5,,,
Vitamin C,B000GG87V2,United States ,July 21,July,2020,yes,-,As I wanted,As I wanted,5,,,
Vitamin C,B000GG87V2,United States ,January 11,January,2019,yes,-,As advertised,As advertised,4,,,
Vitamin C,B000GG87V2,United States ,September 27,September,2015,yes,-,As advertised and fast shipping.,As advertised and fast shipping.,5,,,
Vitamin C,B000GG87V2,United States ,February 16,February,2015,yes,-,Five Stars,As advertized,5,,,
Vitamin C,B000GG87V2,United States ,June 29,June,2016,yes,-,Five Stars,As expected!,5,,,
Vitamin C,B000GG87V2,United States ,June 8,June,2020,yes,yes,Never go without Vitamin C. It’s run its course there was a Nobel prize for that work,Ascorbic acid Pults mucus. I went to a Seventh-day Adventist doctor and my children had strep throat and the other throat problem at the same time I wanted him to give them antibiotics instead he gave him vitamin C and said to take it with 8 ounces of water three or four times a day. I was upset because I paid him all that much for him to tell me to go home and take vitamin C for my kids. It’s hard to get vitamin C down kids it had to be a score big acid by the way at that time I didn’t know how why. I bought some in a gummy bears but really couldn’t afford it I bought it in chewable I bought it in liquid etc. for the kids.But for me it was 1000 mg in 8 ounces glasses of water and it cured all the problems of tonsillitis and strep throat.They were ahead of the health food store in the area in the hospital and they know what they were doing I have a great respect for this religion because of this. I attended one of their classes also.But I’m never without vitamin C and this one I like I can keep up with just 500 mg I don’t have to take a large amount as I do when I’m sick.I like this brand it seems to be doing OK for me.,4,,,
Vitamin C,B000GG87V2,United States ,August 24,August,2020,yes,-,Assume meets specifications,Assume meets specifications.,4,,,
Vitamin C,B000GG87V2,United States ,April 12,April,2015,yes,-,Five Stars,Awesome,5,,,
Vitamin C,B000GG87V2,United States ,August 8,August,2014,yes,-,Five Stars,"Awesome Product, i will recommend it.",5,,,
Vitamin C,B000GG87V2,United States ,October 3,October,2015,yes,-,"I thought these were the easy dissolve, but that's my fault for not reading","Basic vitamin C. I thought these were the easy dissolve, but that's my fault for not reading. Otherwise, serves the purpose",4,,,
Vitamin C,B000GG87V2,United States ,December 27,December,2019,yes,yes,Easy open lid and great value,"Besides the value, I love the flip top lid as I have arthritic hands",5,,,
Vitamin C,B000GG87V2,United States ,May 29,May,2017,yes,-,Five Stars,"Big C users will like this. Solid product, and fair price",5,,,
Vitamin C,B000GG87V2,United States ,October 25,October,2015,yes,yes,Three Stars,Big round pills and they taste a little funny.,3,,,
Vitamin C,B000GG87V2,United States ,February 27,February,2013,yes,-,Great stuff,"Boy does this stuff pucker my face, LOL!!! Its great, and it works well for the dogs.  I use this to help tighten their feet if they get too flat.  Works very well and price is great.",5,,,
Vitamin C,B000GG87V2,United States ,August 19,August,2020,yes,-,Buen producto,Buen producto y buen precio!!,5,,,
