State Residency When Elected,Presidential Party,Close-1,YearPres,President,Market,Date,MonthDay,Day,Close
Georgia,Democratic,968.67,1977_Carter,Jimmy Carter,Dow Jones Index,1/19/1977,1/19,Wednesday,968.67
Georgia,Democratic,959.03,1977_Carter,Jimmy Carter,Dow Jones Index,1/20/1977,1/20,Thursday,959.03
Georgia,Democratic,962.43,1977_Carter,Jimmy Carter,Dow Jones Index,1/21/1977,1/21,Friday,962.43
Georgia,Democratic,963.6,1977_Carter,Jimmy Carter,Dow Jones Index,1/24/1977,1/24,Monday,963.6
Georgia,Democratic,965.92,1977_Carter,Jimmy Carter,Dow Jones Index,1/25/1977,1/25,Tuesday,965.92
Georgia,Democratic,958.53,1977_Carter,Jimmy Carter,Dow Jones Index,1/26/1977,1/26,Wednesday,958.53
Georgia,Democratic,954.54,1977_Carter,Jimmy Carter,Dow Jones Index,1/27/1977,1/27,Thursday,954.54
Georgia,Democratic,957.53,1977_Carter,Jimmy Carter,Dow Jones Index,1/28/1977,1/28,Friday,957.53
Georgia,Democratic,954.37,1977_Carter,Jimmy Carter,Dow Jones Index,1/31/1977,1/31,Monday,954.37
Georgia,Democratic,958.36,1977_Carter,Jimmy Carter,Dow Jones Index,2/1/1977,2/1,Tuesday,958.36
Georgia,Democratic,952.79,1977_Carter,Jimmy Carter,Dow Jones Index,2/2/1977,2/2,Wednesday,952.79
Georgia,Democratic,947.14,1977_Carter,Jimmy Carter,Dow Jones Index,2/3/1977,2/3,Thursday,947.14
Georgia,Democratic,947.89,1977_Carter,Jimmy Carter,Dow Jones Index,2/4/1977,2/4,Friday,947.89
Georgia,Democratic,946.31,1977_Carter,Jimmy Carter,Dow Jones Index,2/7/1977,2/7,Monday,946.31
Georgia,Democratic,942.24,1977_Carter,Jimmy Carter,Dow Jones Index,2/8/1977,2/8,Tuesday,942.24
Georgia,Democratic,933.84,1977_Carter,Jimmy Carter,Dow Jones Index,2/9/1977,2/9,Wednesday,933.84
Georgia,Democratic,937.92,1977_Carter,Jimmy Carter,Dow Jones Index,2/10/1977,2/10,Thursday,937.92
Georgia,Democratic,931.52,1977_Carter,Jimmy Carter,Dow Jones Index,2/11/1977,2/11,Friday,931.52
Georgia,Democratic,938.33,1977_Carter,Jimmy Carter,Dow Jones Index,2/14/1977,2/14,Monday,938.33
Georgia,Democratic,944.32,1977_Carter,Jimmy Carter,Dow Jones Index,2/15/1977,2/15,Tuesday,944.32
Georgia,Democratic,948.3,1977_Carter,Jimmy Carter,Dow Jones Index,2/16/1977,2/16,Wednesday,948.3
Georgia,Democratic,943.73,1977_Carter,Jimmy Carter,Dow Jones Index,2/17/1977,2/17,Thursday,943.73
Georgia,Democratic,940.24,1977_Carter,Jimmy Carter,Dow Jones Index,2/18/1977,2/18,Friday,940.24
Georgia,Democratic,939.91,1977_Carter,Jimmy Carter,Dow Jones Index,2/22/1977,2/22,Tuesday,939.91
Georgia,Democratic,938.25,1977_Carter,Jimmy Carter,Dow Jones Index,2/23/1977,2/23,Wednesday,938.25
Georgia,Democratic,932.6,1977_Carter,Jimmy Carter,Dow Jones Index,2/24/1977,2/24,Thursday,932.6
Georgia,Democratic,933.43,1977_Carter,Jimmy Carter,Dow Jones Index,2/25/1977,2/25,Friday,933.43
Georgia,Democratic,936.42,1977_Carter,Jimmy Carter,Dow Jones Index,2/28/1977,2/28,Monday,936.42
Georgia,Democratic,944.73,1977_Carter,Jimmy Carter,Dow Jones Index,3/1/1977,3/1,Tuesday,944.73
Georgia,Democratic,942.07,1977_Carter,Jimmy Carter,Dow Jones Index,3/2/1977,3/2,Wednesday,942.07
Georgia,Democratic,948.64,1977_Carter,Jimmy Carter,Dow Jones Index,3/3/1977,3/3,Thursday,948.64
Georgia,Democratic,953.46,1977_Carter,Jimmy Carter,Dow Jones Index,3/4/1977,3/4,Friday,953.46
Georgia,Democratic,955.12,1977_Carter,Jimmy Carter,Dow Jones Index,3/7/1977,3/7,Monday,955.12
Georgia,Democratic,952.04,1977_Carter,Jimmy Carter,Dow Jones Index,3/8/1977,3/8,Tuesday,952.04
