,Category,Subcat,name,price,price_cat,stars,stars_cat,sales,sales_cat
1,Programming & Tech,Data Analysis & Reports,build automated and insightful power bi report,155,Medium,5,Five,10,Low
2,Lifestyle,Greeting Cards & Videos,get kermit to personalize a video birthday greeting and song,5,Very Low,5,Five,1k+,Huge
3,Programming & Tech,Website Builders & CMS,build or redesign your existing squarespace website,75,Medium,5,Five,68,Moderate
4,Lifestyle,Cooking Lessons,create original eastern food cooking video recipe,20,Low,4.9,Four+,5,Low
5,Writing & Translation,Legal Writing,write gdpr privacy policy and terms and conditions for your website or app,10,Very Low,5,Five,2,Low
6,Writing & Translation,UX Writing,provide professional copywrite material for website content,5,Very Low,nul,No Star,nul,No Sale
7,Writing & Translation,Podcast Writing,write podcast content and stories,10,Very Low,nul,No Star,nul,No Sale
8,Writing & Translation,Email Copy,copywrite your customers favorite emails,35,Low,5,Five,57,Moderate
9,Writing & Translation,Legal Writing,write a legal terms and gdpr privacy policy,55,Medium,5,Five,309,Huge
10,Digital Marketing,Local SEO,do local SEO for your website,100,Medium,5,Five,4,Low
11,Programming & Tech,Website Builders & CMS,design and redesign wix website,150,Medium,4.9,Four+,305,Huge
12,Lifestyle,Celebrity Impersonators,record my impersonation sebastion maniscalco,10,Very Low,5,Five,11,Low
13,Writing & Translation,Online Language LessonsNew,be your english teacher or english tutor for 60 minute,5,Very Low,5,Five,51,Moderate
14,Video & Animation,Slideshows Videos,"create amazing photo, video slideshow with music",10,Very Low,4.9,Four+,336,Huge
15,Writing & Translation,Product Descriptions,create outstanding amazon a plus enhanced brand content,35,Low,5,Five,57,Moderate
16,Programming & Tech,Convert Files,"convert PDF to word, pdf to excel, copy paste, data entry",5,Very Low,5,Five,6,Low
17,Lifestyle,Spiritual & Healing,cast king lucifer obsession lust spell to make exback fast,5,Very Low,5,Five,32,Low
18,Lifestyle,Personal StylistsNew,be your personal stylist,25,Low,5,Five,19,Low
19,Video & Animation,eLearning Video ProductionNew,edit your online course video,75,Medium,5,Five,16,Low
20,Video & Animation,Product Photography,produce unique recipes with food photography,15,Low,5,Five,9,Low
21,Music & Audio,Podcast EditingNew,professionally do podcast editing,20,Low,5,Five,78,Moderate
22,Video & Animation,Animation for Streamers,Our studio will do professional twitch or mixer overlay for your stream,250,High,4.8,Four+,8,Low
23,Video & Animation,Screencasting Videos,do a screencast instructional or tutorial video in 24 hours,5,Very Low,5,Five,7,Low
24,Lifestyle,Your Message On...,do happy birthday video song with a custom message,10,Very Low,5,Five,27,Low
25,Writing & Translation,Podcast Writing,write worthy podcast episodes for you,15,Low,4.8,Four+,6,Low
26,Programming & Tech,User Testing,user test your website or app,35,Low,5,Five,75,Moderate
27,Writing & Translation,Proofreading & Editing,provide book editing and proofreading,5,Very Low,5,Five,1k+,Huge
28,Video & Animation,Video Editing,do professional video editing and post production,50,Low,5,Five,1k+,Huge
29,Video & Animation,Local PhotographyBeta,high quality product photography,220,High,4.8,Four+,4,Low
30,Digital Marketing,Domain Research,do you 5 valuable unique com domain names and complete keyword research report,5,Very Low,5,Five,1,Low
31,Writing & Translation,Creative Writing,write an impeccable bio or biography,15,Low,4.7,Four+,20,Low
32,Lifestyle,Your Message On...,be your female model,10,Very Low,4.9,Four+,6,Low
33,Digital Marketing,E-Commerce Marketing,get amazon a plus content on your amazon listing,145,Medium,4.9,Four+,135,Moderate
34,Writing & Translation,Transcripts,do a 30 minutes spanish transcription in 24 hours,5,Very Low,4.9,Four+,45,Low
35,Lifestyle,Celebrity Impersonators,say anything you want in a batman impression with video,5,Very Low,5,Five,1,Low
36,Video & Animation,Video Editing,create a youtube top 10 list video,65,Medium,5,Five,48,Low
37,Writing & Translation,Website Content,write an engaging and SEO optimized web page,30,Low,4.9,Four+,16,Low
38,Lifestyle,Greeting Cards & Videos,make greeting video from donald trump for happy birthday or any holiday event,5,Very Low,5,Five,42,Low
39,Digital Marketing,Web Traffic,send quality USA and eu traffic from 5k,50,Low,5,Five,119,Moderate
