date,average_price,total_volume,type,region
2018-12-27,1.33,64236.62,A,Albany
2018-12-20,1.35,54876.98,A,Albany
2018-12-13,0.93,118220.22,A,Albany
2018-12-06,1.08,78992.15,A,Albany
2018-11-29,1.28,51039.6,A,Albany
2018-11-22,1.26,55979.78,A,Albany
2018-11-15,0.99,83453.76,A,Albany
2018-11-08,0.98,109428.33,A,Albany
2018-11-01,1.02,99811.42,A,Albany
2018-10-25,1.07,74338.76,A,Albany
2018-10-18,1.12,84843.44,A,Albany
2018-10-11,1.28,64489.17,A,Albany
2018-10-04,1.31,61007.1,A,Albany
2018-09-27,0.99,106803.39,A,Albany
2018-09-20,1.33,69759.01,A,Albany
2018-09-13,1.28,76111.27,A,Albany
2018-09-06,1.11,99172.96,A,Albany
2018-08-30,1.07,105693.84,A,Albany
2018-08-23,1.34,79992.09,A,Albany
2018-08-16,1.33,80043.78,A,Albany
2018-08-09,1.12,111140.93,A,Albany
2018-08-02,1.45,75133.1,A,Albany
2018-07-26,1.11,106757.1,A,Albany
2018-07-19,1.26,96617,A,Albany
2018-07-12,1.05,124055.31,A,Albany
2018-07-05,1.35,109252.12,A,Albany
2018-06-28,1.37,89534.81,A,Albany
2018-06-21,1.27,104849.39,A,Albany
2018-06-14,1.32,89631.3,A,Albany
2018-06-07,1.07,122743.06,A,Albany
2018-05-31,1.23,95123.62,A,Albany
2018-05-24,1.19,101470.91,A,Albany
2018-05-17,1.43,109857.47,A,Albany
2018-05-10,1.26,120427.91,A,Albany
2018-05-03,1.2,59197.67,A,Albany
2018-04-26,1.22,49585.46,A,Albany
2018-04-19,1.19,49064.73,A,Albany
2018-04-12,1.13,48364.29,A,Albany
2018-04-05,1.16,47362.13,A,Albany
2018-03-29,1.02,67799.08,A,Albany
2018-03-22,1.12,46346.85,A,Albany
2018-03-15,1.11,43045.79,A,Albany
2018-03-08,1.07,40507.36,A,Albany
2018-03-01,0.99,55595.74,A,Albany
2018-02-22,1.07,45675.05,A,Albany
2018-02-15,1.06,41567.62,A,Albany
2018-02-08,0.99,51253.97,A,Albany
2018-02-01,0.99,70873.6,A,Albany
2018-01-25,1.06,45147.5,A,Albany
2018-01-18,1.17,44511.28,A,Albany
2018-01-11,1.24,41195.08,A,Albany
2018-01-04,1.22,40873.28,A,Albany
2018-12-27,0.99,386100.49,A,Atlanta
2018-12-20,1.08,331377.53,A,Atlanta
2018-12-13,0.96,417772.47,A,Atlanta
2018-12-06,1.07,357636.82,A,Atlanta
2018-11-29,0.99,333280.79,A,Atlanta
2018-11-22,1,356414.57,A,Atlanta
2018-11-15,1.13,339860.68,A,Atlanta
2018-11-08,1.12,334041.6,A,Atlanta
2018-11-01,0.99,419088.74,A,Atlanta
2018-10-25,1.09,358478.08,A,Atlanta
2018-10-18,1.09,349072.48,A,Atlanta
2018-10-11,0.95,433874.46,A,Atlanta
2018-10-04,0.96,418682.26,A,Atlanta
2018-09-27,1.07,370321.17,A,Atlanta
2018-09-20,0.93,516432.6,A,Atlanta
2018-09-13,1.07,417232.18,A,Atlanta
2018-09-06,0.97,472136.53,A,Atlanta
2018-08-30,1.15,382972.72,A,Atlanta
2018-08-23,1.12,379054.29,A,Atlanta
2018-08-16,1.09,465213.81,A,Atlanta
2018-08-09,1.01,503791.72,A,Atlanta
2018-08-02,1.15,405898.44,A,Atlanta
2018-07-26,1.08,437377.75,A,Atlanta
2018-07-19,0.97,557212.99,A,Atlanta
2018-07-12,1.14,407204.88,A,Atlanta
2018-07-05,1.01,562462.33,A,Atlanta
2018-06-28,1.13,435210.71,A,Atlanta
2018-06-21,0.99,554763.76,A,Atlanta
2018-06-14,1.1,465804.78,A,Atlanta
2018-06-07,0.99,551009.05,A,Atlanta
2018-05-31,1.1,454702,A,Atlanta
2018-05-24,0.96,623212.04,A,Atlanta
2018-05-17,1.11,451250.7,A,Atlanta
2018-05-10,1.1,480071.18,A,Atlanta
2018-05-03,1,634213.1,A,Atlanta
2018-04-26,1.12,448596.76,A,Atlanta
2018-04-19,1.12,430966.34,A,Atlanta
2018-04-12,0.99,451101.89,A,Atlanta
2018-04-05,1.04,383139.49,A,Atlanta
2018-03-29,1.11,365722.14,A,Atlanta
2018-03-22,1,479590.62,A,Atlanta
2018-03-15,1.12,399566.22,A,Atlanta
2018-03-08,1.1,420826.32,A,Atlanta
2018-03-01,0.99,512532.44,A,Atlanta
2018-02-22,1.1,431308.56,A,Atlanta
2018-02-15,1.06,427391.28,A,Atlanta
2018-02-08,1.03,433883.91,A,Atlanta
2018-02-01,0.96,636771.37,A,Atlanta
2018-01-25,1.1,449332.85,A,Atlanta
2018-01-18,1.11,431490.99,A,Atlanta
2018-01-11,1.11,397542.72,A,Atlanta
2018-01-04,1,435021.49,A,Atlanta
2018-12-27,1.17,596819.4,A,BaltimoreWashington
2018-12-20,1.11,642682.4,A,BaltimoreWashington
2018-12-13,1.15,619509.33,A,BaltimoreWashington
2018-12-06,1.04,649141.25,A,BaltimoreWashington
2018-11-29,1.16,545800.05,A,BaltimoreWashington
2018-11-22,1.12,572019.8,A,BaltimoreWashington
2018-11-15,1.04,718330.48,A,BaltimoreWashington
2018-11-08,1.05,830967.23,A,BaltimoreWashington
2018-11-01,1.12,742220.67,A,BaltimoreWashington
2018-10-25,1.19,656892.03,A,BaltimoreWashington
2018-10-18,0.99,1005603.78,A,BaltimoreWashington
2018-10-11,1.24,653560.14,A,BaltimoreWashington
2018-10-04,1.28,657444.04,A,BaltimoreWashington
2018-09-27,1.19,696281.81,A,BaltimoreWashington
2018-09-20,1.17,709268.62,A,BaltimoreWashington
2018-09-13,1.09,924993.61,A,BaltimoreWashington
2018-09-06,1.18,823623.36,A,BaltimoreWashington
2018-08-30,1.24,734721.29,A,BaltimoreWashington
2018-08-23,1.16,783935.36,A,BaltimoreWashington
2018-08-16,1.14,882754.72,A,BaltimoreWashington
2018-08-09,1.16,821523.45,A,BaltimoreWashington
2018-08-02,1.17,800603.23,A,BaltimoreWashington
2018-07-26,1.2,772926.12,A,BaltimoreWashington
2018-07-19,1.18,800194.34,A,BaltimoreWashington
2018-07-12,1.1,850931.58,A,BaltimoreWashington
2018-07-05,1.16,896298.77,A,BaltimoreWashington
2018-06-28,1.15,862261.64,A,BaltimoreWashington
2018-06-21,1.16,862840.73,A,BaltimoreWashington
2018-06-14,1.09,955046.82,A,BaltimoreWashington
2018-06-07,1.26,794310.29,A,BaltimoreWashington
2018-05-31,1.19,949177.06,A,BaltimoreWashington
