obs,group,material,weeks,gpi
1,ECM1,1,4,55
2,ECM1,1,4,70
3,ECM1,1,4,70
4,ECM1,1,8,60
5,ECM1,1,8,65
6,ECM1,1,8,65
7,ECM2,2,4,60
8,ECM2,2,4,65
9,ECM2,2,4,65
10,ECM2,2,8,60
11,ECM2,2,8,70
12,ECM2,2,8,60
13,ECM3,3,4,75
14,ECM3,3,4,70
15,ECM3,3,4,75
16,ECM3,3,8,70
17,ECM3,3,8,80
18,ECM3,3,8,70
19,MAT1,4,4,20
20,MAT1,4,4,25
21,MAT1,4,4,25
22,MAT1,4,8,15
23,MAT1,4,8,25
24,MAT1,4,8,25
25,MAT2,5,4,5
26,MAT2,5,4,10
27,MAT2,5,4,5
28,MAT2,5,8,10
29,MAT2,5,8,5
30,MAT2,5,8,5
31,MAT3,6,4,10
32,MAT3,6,4,15
33,MAT3,6,4,10
34,MAT3,6,8,5
35,MAT3,6,8,15
36,MAT3,6,8,10
